Data,Contagem,Links
08/1989,26,https://nuforc.org/webreports/ndxe198908.html
07/1989,44,https://nuforc.org/webreports/ndxe198907.html
06/1989,68,https://nuforc.org/webreports/ndxe198906.html
05/1989,25,https://nuforc.org/webreports/ndxe198905.html
04/1989,15,https://nuforc.org/webreports/ndxe198904.html
03/1989,13,https://nuforc.org/webreports/ndxe198903.html
02/1989,10,https://nuforc.org/webreports/ndxe198902.html
01/1989,15,https://nuforc.org/webreports/ndxe198901.html
12/1988,8,https://nuforc.org/webreports/ndxe198812.html
11/1988,19,https://nuforc.org/webreports/ndxe198811.html
10/1988,41,https://nuforc.org/webreports/ndxe198810.html
09/1988,20,https://nuforc.org/webreports/ndxe198809.html
08/1988,57,https://nuforc.org/webreports/ndxe198808.html
07/1988,37,https://nuforc.org/webreports/ndxe198807.html
06/1988,65,https://nuforc.org/webreports/ndxe198806.html
05/1988,14,https://nuforc.org/webreports/ndxe198805.html
04/1988,11,https://nuforc.org/webreports/ndxe198804.html
03/1988,16,https://nuforc.org/webreports/ndxe198803.html
02/1988,6,https://nuforc.org/webreports/ndxe198802.html
01/1988,14,https://nuforc.org/webreports/ndxe198801.html
12/1987,17,https://nuforc.org/webreports/ndxe198712.html
11/1987,19,https://nuforc.org/webreports/ndxe198711.html
10/1987,30,https://nuforc.org/webreports/ndxe198710.html
09/1987,15,https://nuforc.org/webreports/ndxe198709.html
08/1987,36,https://nuforc.org/webreports/ndxe198708.html
07/1987,50,https://nuforc.org/webreports/ndxe198707.html
06/1987,58,https://nuforc.org/webreports/ndxe198706.html
05/1987,23,https://nuforc.org/webreports/ndxe198705.html
04/1987,19,https://nuforc.org/webreports/ndxe198704.html
03/1987,12,https://nuforc.org/webreports/ndxe198703.html
02/1987,7,https://nuforc.org/webreports/ndxe198702.html
01/1987,13,https://nuforc.org/webreports/ndxe198701.html
12/1986,9,https://nuforc.org/webreports/ndxe198612.html
11/1986,11,https://nuforc.org/webreports/ndxe198611.html
10/1986,30,https://nuforc.org/webreports/ndxe198610.html
09/1986,19,https://nuforc.org/webreports/ndxe198609.html
08/1986,33,https://nuforc.org/webreports/ndxe198608.html
07/1986,29,https://nuforc.org/webreports/ndxe198607.html
06/1986,60,https://nuforc.org/webreports/ndxe198606.html
05/1986,14,https://nuforc.org/webreports/ndxe198605.html
04/1986,17,https://nuforc.org/webreports/ndxe198604.html
03/1986,10,https://nuforc.org/webreports/ndxe198603.html
02/1986,10,https://nuforc.org/webreports/ndxe198602.html
01/1986,8,https://nuforc.org/webreports/ndxe198601.html
12/1985,11,https://nuforc.org/webreports/ndxe198512.html
11/1985,11,https://nuforc.org/webreports/ndxe198511.html
10/1985,22,https://nuforc.org/webreports/ndxe198510.html
09/1985,24,https://nuforc.org/webreports/ndxe198509.html
08/1985,30,https://nuforc.org/webreports/ndxe198508.html
07/1985,41,https://nuforc.org/webreports/ndxe198507.html
06/1985,86,https://nuforc.org/webreports/ndxe198506.html
05/1985,20,https://nuforc.org/webreports/ndxe198505.html
04/1985,10,https://nuforc.org/webreports/ndxe198504.html
03/1985,8,https://nuforc.org/webreports/ndxe198503.html
02/1985,4,https://nuforc.org/webreports/ndxe198502.html
01/1985,11,https://nuforc.org/webreports/ndxe198501.html
12/1984,8,https://nuforc.org/webreports/ndxe198412.html
11/1984,12,https://nuforc.org/webreports/ndxe198411.html
10/1984,23,https://nuforc.org/webreports/ndxe198410.html
09/1984,19,https://nuforc.org/webreports/ndxe198409.html
08/1984,32,https://nuforc.org/webreports/ndxe198408.html
07/1984,31,https://nuforc.org/webreports/ndxe198407.html
